Country;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
KG;22.00;21.00;18.00;19.00;20.00;21.20;24.00;24.00;27.00;28.00;28.00
UZ;21.00;17.00;18.00;17.00;16.00;16.25;17.00;17.00;18.00;19.00;21.00
AZ;24.00;21.00;19.00;23.00;24.00;23.75;27.00;28.00;29.00;29.00;30.00
KP;;;;;;10.10;8.00;8.00;8.00;8.00;12.00
MV;;33.00;28.00;25.00;23.00;24.71;;;;;36.00
KR;51.00;51.00;56.00;55.00;54.00;53.56;56.00;55.00;55.00;56.00;53.00
NP;25.00;25.00;27.00;23.00;22.00;22.11;27.00;31.00;29.00;27.00;29.00
BB;67.00;69.00;70.00;74.00;78.00;77.74;76.00;75.00;74.00;;61.00
DM;45.00;56.00;60.00;59.00;52.00;51.75;58.00;58.00;58.00;;59.00
GD;35.00;34.00;;;;;;;;;56.00
LC;;68.00;71.00;70.00;;70.18;71.00;71.00;;;60.00
VC;;61.00;65.00;64.00;;57.61;62.00;62.00;67.00;;60.00
CU;35.00;42.00;43.00;44.00;37.00;41.64;48.00;46.00;46.00;47.00;47.00
GT;26.00;28.00;31.00;34.00;32.00;27.28;33.00;29.00;32.00;28.00;28.00
DO;28.00;30.00;30.00;30.00;30.00;25.90;32.00;29.00;32.00;33.00;31.00
JM;37.00;33.00;31.00;30.00;33.00;33.41;38.00;38.00;38.00;41.00;39.00
CR;41.00;50.00;51.00;53.00;53.00;47.98;54.00;53.00;54.00;55.00;58.00
PA;31.00;32.00;34.00;34.00;36.00;32.66;38.00;35.00;37.00;39.00;38.00
HN;25.00;25.00;26.00;25.00;24.00;25.92;28.00;26.00;29.00;31.00;30.00
NI;26.00;26.00;25.00;25.00;25.00;25.30;29.00;28.00;28.00;27.00;26.00
BZ;35.00;30.00;29.00;;;;;;;;
SV;40.00;40.00;39.00;34.00;36.00;34.25;38.00;38.00;39.00;39.00;36.00
TT;32.00;34.00;36.00;36.00;36.00;31.70;39.00;38.00;38.00;39.00;35.00
BS;;;;;;72.89;71.00;71.00;71.00;;66.00
HT;18.00;16.00;14.00;18.00;22.00;18.00;19.00;19.00;19.00;17.00;20.00
CH;91.00;90.00;90.00;90.00;87.00;88.02;86.00;85.00;86.00;86.00;86.00
FR;74.00;73.00;69.00;69.00;68.00;70.05;71.00;71.00;69.00;70.00;69.00
LU;86.00;84.00;83.00;82.00;85.00;85.07;80.00;80.00;82.00;81.00;81.00
MT;64.00;58.00;58.00;52.00;56.00;55.92;57.00;56.00;55.00;56.00;55.00
BY;21.00;21.00;20.00;24.00;25.00;24.18;31.00;29.00;31.00;32.00;40.00
DE;80.00;78.00;79.00;80.00;79.00;80.46;79.00;78.00;79.00;81.00;81.00
IT;49.00;52.00;48.00;43.00;39.00;39.07;42.00;43.00;43.00;44.00;47.00
ES;68.00;67.00;65.00;61.00;61.00;62.30;65.00;59.00;60.00;58.00;58.00
NL;87.00;90.00;89.00;89.00;88.00;88.94;84.00;83.00;83.00;87.00;83.00
PL;37.00;42.00;46.00;50.00;53.00;54.82;58.00;60.00;61.00;62.00;62.00
BE;73.00;71.00;73.00;71.00;71.00;74.87;75.00;75.00;76.00;77.00;77.00
BG;40.00;41.00;36.00;38.00;36.00;33.29;41.00;41.00;43.00;41.00;41.00
HU;52.00;53.00;51.00;51.00;47.00;45.55;55.00;54.00;54.00;51.00;48.00
SE;92.00;93.00;93.00;92.00;92.00;92.98;88.00;89.00;87.00;89.00;88.00
CZ;48.00;52.00;52.00;49.00;46.00;43.68;49.00;48.00;51.00;56.00;55.00
DK;95.00;94.00;93.00;93.00;93.00;93.92;90.00;91.00;92.00;91.00;90.00
PT;66.00;65.00;61.00;58.00;60.00;60.98;63.00;62.00;63.00;63.00;62.00
RO;31.00;37.00;38.00;38.00;37.00;36.12;44.00;43.00;43.00;46.00;48.00
AT;86.00;81.00;81.00;79.00;79.00;77.87;69.00;69.00;72.00;76.00;75.00
GR;44.00;46.00;47.00;38.00;35.00;33.89;36.00;40.00;43.00;46.00;44.00
SK;47.00;49.00;50.00;45.00;43.00;39.72;46.00;47.00;50.00;51.00;51.00
EE;67.00;65.00;66.00;66.00;65.00;63.54;64.00;68.00;69.00;70.00;70.00
IE;74.00;75.00;77.00;80.00;80.00;75.36;69.00;72.00;74.00;75.00;73.00
LT;48.00;48.00;46.00;49.00;50.00;47.52;54.00;57.00;58.00;61.00;59.00
LV;47.00;48.00;50.00;45.00;43.00;41.94;49.00;53.00;55.00;55.00;57.00
SI;64.00;66.00;67.00;66.00;64.00;58.70;61.00;57.00;58.00;60.00;61.00
NO;88.00;87.00;79.00;86.00;86.00;89.90;85.00;86.00;86.00;87.00;85.00
RU;25.00;23.00;21.00;22.00;21.00;24.49;28.00;28.00;27.00;29.00;29.00
HR;34.00;41.00;44.00;41.00;41.00;40.34;46.00;48.00;48.00;51.00;49.00
UA;28.00;27.00;25.00;22.00;24.00;22.97;26.00;25.00;26.00;27.00;29.00
MD;32.00;28.00;29.00;33.00;29.00;28.79;36.00;35.00;35.00;33.00;30.00
MK;27.00;33.00;36.00;38.00;41.00;39.43;43.00;44.00;45.00;42.00;37.00
AL;26.00;29.00;34.00;32.00;33.00;30.53;33.00;31.00;33.00;36.00;39.00
ME;;33.00;34.00;39.00;37.00;39.70;41.00;44.00;42.00;44.00;45.00
BA;29.00;33.00;32.00;30.00;32.00;32.07;42.00;42.00;39.00;38.00;39.00
RS;30.00;34.00;34.00;35.00;35.00;33.13;39.00;42.00;41.00;40.00;42.00
IS;96.00;92.00;89.00;87.00;85.00;82.74;82.00;78.00;79.00;79.00;78.00
FI;96.00;94.00;90.00;89.00;92.00;94.04;90.00;89.00;89.00;90.00;89.00
GB;86.00;84.00;77.00;77.00;76.00;77.75;74.00;76.00;78.00;81.00;81.00
CA;85.00;87.00;87.00;87.00;89.00;86.72;84.00;81.00;81.00;83.00;82.00
MX;33.00;35.00;36.00;33.00;31.00;29.71;34.00;34.00;35.00;35.00;30.00
US;73.00;72.00;73.00;75.00;71.00;71.36;73.00;73.00;74.00;76.00;74.00
KI;;33.00;31.00;28.00;32.00;30.80;;;;;
TO;;17.00;24.00;30.00;30.00;31.39;;;;;
VU;;31.00;29.00;32.00;36.00;35.30;;;;;
WS;;45.00;44.00;45.00;41.00;38.79;;;52.00;;
AU;87.00;86.00;87.00;87.00;87.00;88.44;85.00;81.00;80.00;79.00;79.00
NZ;96.00;94.00;93.00;94.00;93.00;94.63;90.00;91.00;91.00;88.00;90.00
PG;24.00;20.00;20.00;21.00;21.00;21.65;25.00;25.00;25.00;25.00;28.00
SB;;28.00;29.00;28.00;28.00;27.06;;;;;42.00
HK;83.00;83.00;81.00;82.00;84.00;83.90;77.00;75.00;74.00;75.00;77.00
MO;66.00;57.00;54.00;53.00;50.00;51.11;;;;;
TW;59.00;57.00;57.00;56.00;58.00;61.36;61.00;61.00;61.00;62.00;61.00
ID;24.00;23.00;26.00;28.00;28.00;30.28;32.00;32.00;34.00;36.00;37.00
PH;25.00;25.00;23.00;24.00;24.00;26.44;34.00;36.00;38.00;35.00;35.00
MY;50.00;51.00;51.00;45.00;44.00;43.07;49.00;50.00;52.00;50.00;49.00
TH;36.00;33.00;35.00;34.00;35.00;33.81;37.00;35.00;38.00;38.00;35.00
SG;94.00;93.00;92.00;92.00;93.00;91.67;87.00;86.00;84.00;85.00;84.00
VN;26.00;26.00;27.00;27.00;27.00;28.64;31.00;31.00;31.00;31.00;33.00
LA;26.00;19.00;20.00;20.00;21.00;22.14;21.00;26.00;25.00;25.00;30.00
KH;21.00;20.00;18.00;20.00;21.00;21.11;22.00;20.00;21.00;21.00;21.00
MM;19.00;14.00;13.00;14.00;14.00;14.90;15.00;21.00;21.00;22.00;28.00
TL;26.00;26.00;22.00;22.00;25.00;23.76;33.00;30.00;28.00;28.00;35.00
BN;;;;55.00;55.00;52.07;55.00;60.00;;;58.00
VE;23.00;20.00;19.00;19.00;20.00;18.89;19.00;20.00;19.00;17.00;17.00
BR;33.00;35.00;35.00;37.00;37.00;37.74;43.00;42.00;43.00;38.00;40.00
AR;29.00;29.00;29.00;29.00;29.00;29.96;35.00;34.00;34.00;32.00;36.00
CL;73.00;70.00;69.00;67.00;72.00;72.14;72.00;71.00;73.00;70.00;66.00
CO;39.00;38.00;38.00;37.00;35.00;34.47;36.00;36.00;37.00;37.00;37.00
PE;33.00;35.00;36.00;37.00;35.00;33.86;38.00;38.00;38.00;36.00;35.00
EC;23.00;21.00;20.00;22.00;25.00;26.50;32.00;35.00;33.00;32.00;31.00
PY;26.00;24.00;24.00;21.00;22.00;22.18;25.00;24.00;24.00;27.00;30.00
UY;64.00;67.00;69.00;67.00;69.00;70.44;72.00;73.00;73.00;74.00;71.00
BO;27.00;29.00;30.00;27.00;28.00;27.63;34.00;34.00;35.00;34.00;33.00
GY;25.00;26.00;26.00;26.00;27.00;24.88;28.00;27.00;30.00;29.00;34.00
SR;30.00;35.00;36.00;37.00;;30.29;37.00;36.00;36.00;36.00;45.00
CY;56.00;53.00;64.00;66.00;63.00;62.66;66.00;63.00;63.00;61.00;55.00
TR;38.00;41.00;46.00;44.00;44.00;42.07;49.00;50.00;45.00;42.00;41.00
BH;57.00;50.00;54.00;51.00;49.00;51.10;51.00;48.00;49.00;51.00;43.00
YE;26.00;25.00;23.00;21.00;22.00;20.80;23.00;18.00;19.00;18.00;14.00
KW;48.00;43.00;43.00;41.00;45.00;46.16;44.00;43.00;44.00;49.00;41.00
OM;54.00;47.00;55.00;55.00;53.00;48.35;47.00;47.00;45.00;45.00;45.00
QA;60.00;60.00;65.00;70.00;77.00;71.55;68.00;68.00;69.00;71.00;61.00
IQ;19.00;15.00;13.00;15.00;15.00;18.04;18.00;16.00;16.00;16.00;17.00
IR;27.00;25.00;23.00;18.00;22.00;27.20;28.00;25.00;27.00;27.00;29.00
AE;62.00;57.00;59.00;65.00;63.00;68.23;68.00;69.00;70.00;70.00;66.00
IL;59.00;61.00;60.00;61.00;61.00;58.07;60.00;61.00;60.00;61.00;64.00
SY;29.00;24.00;21.00;26.00;25.00;25.58;26.00;17.00;20.00;18.00;13.00
JO;53.00;47.00;51.00;50.00;47.00;44.86;48.00;45.00;49.00;53.00;48.00
LB;36.00;30.00;30.00;25.00;25.00;24.87;30.00;28.00;27.00;28.00;28.00
SA;33.00;34.00;35.00;43.00;47.00;43.87;44.00;46.00;49.00;52.00;46.00
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
